"RESULTS
Karate Canada National Championship 2011 - Results",,,
"Search:
CATEGORIES
KATA INDIVIDUAL FEMALE CADETS","RANK NAME
1 FURUMOTO-DESHAIES HANA",,"CLUB
TEAM QUÉBEC"
"KATA INDIVIDUAL FEMALE
CADETS",2,KLISARA MONIKA,TEAM ONTARIO
"KATA INDIVIDUAL FEMALE
CADETS",3,ADDESSO AMANDA,TEAM ONTARIO
"KATA INDIVIDUAL FEMALE
CADETS",3,HOURAHINE JULIA,TEAM ONTARIO
"KATA INDIVIDUAL FEMALE
CADETS",5,ALVAREZ BERNADETTE,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL FEMALE
CADETS",5,BOISVENUE CAMÉLIE,TEAM QUÉBEC
"KATA INDIVIDUAL FEMALE
CADETS",7,EWING TIANA,TEAM ALBERTA
KATA INDIVIDUAL FEMALE JUNIORS,1,BARUSIC VICTORIA,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL FEMALE
JUNIORS",2,ARKSEY EMMA,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL FEMALE
JUNIORS",3,BAGHERZADEH MARYAM,TEAM ONTARIO
"KATA INDIVIDUAL FEMALE
JUNIORS",3,CHAREST KIM,TEAM QUÉBEC
"KATA INDIVIDUAL FEMALE
JUNIORS",5,FERREIRA ELIZABETH,TEAM ONTARIO
"KATA INDIVIDUAL FEMALE
JUNIORS",5,THERIAULT MARIE-PIER,TEAM QUÉBEC
"KATA INDIVIDUAL FEMALE
JUNIORS",7,GRASSLER ELAAN,TEAM MANITOBA
KATA INDIVIDUAL FEMALE SEN,1,UCHIAGE SUMI,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL FEMALE SEN,2,UCHIAGE HIDEMI,TEAM ALBERTA
KATA INDIVIDUAL FEMALE SEN,3,TRAHAN-PERREAULT DAPHNÉ,"CANADA TRADITIONAL GOJU-RYU KARATE DO
ASSOCIATION"
KATA INDIVIDUAL FEMALE SEN,3,FLAMENGO MARIA,TEAM ONTARIO
KATA INDIVIDUAL FEMALE SEN,5,CHRÉTIEN CAROLINE,TEAM QUÉBEC
KATA INDIVIDUAL FEMALE SEN,5,REYES CARLA,TEAM QUÉBEC
KATA INDIVIDUAL FEMALE SEN,7,REMONDINI ALEXANDRA,TEAM ALBERTA
KATA INDIVIDUAL FEMALE U21,1,CHRÉTIEN CAROLINE,TEAM QUÉBEC

KATA INDIVIDUAL FEMALE U21,2,BILODEAU KARINE,TEAM QUÉBEC
KATA INDIVIDUAL FEMALE U21,3,WILLIAMS TERRY,TEAM QUÉBEC
KATA INDIVIDUAL FEMALE U21,3,TERRA KATHLEEN,TEAM ONTARIO
KATA INDIVIDUAL FEMALE U21,5,GAGNON REBECCA,TEAM ONTARIO
KATA INDIVIDUAL FEMALE U21,5,SEKHON JIVAN,TEAM ALBERTA
KATA INDIVIDUAL MALE CADETS,1,NGUYEN TAN,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE CADETS,2,GRECH SEAN,TEAM ONTARIO
KATA INDIVIDUAL MALE CADETS,3,NEWELL GEOFFREY,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE CADETS,3,FREYRE-PONS JIMI,TEAM ONTARIO
KATA INDIVIDUAL MALE CADETS,5,DONG THOMAS,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE CADETS,5,KWONG EVAN,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE CADETS,7,PYE DEVON,TEAM NOVA SCOTIA
KATA INDIVIDUAL MALE CADETS,7,LAWLOR ALEX,TEAM NEWFOUNDLAND
KATA INDIVIDUAL MALE JUNIORS,1,SANTILLIAN PAULO,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE JUNIORS,2,RODRIGUE CARL,TEAM QUÉBEC
KATA INDIVIDUAL MALE JUNIORS,3,JOE CHRISTOPHER,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE JUNIORS,3,DAVID JOSHUA,TEAM ONTARIO
KATA INDIVIDUAL MALE JUNIORS,5,PRITCHARD-OH ALEX,TEAM ONTARIO
KATA INDIVIDUAL MALE JUNIORS,5,FEY CHRISTIAN,TEAM ONTARIO
KATA INDIVIDUAL MALE JUNIORS,7,STAMP JOHN,TEAM NEWFOUNDLAND
KATA INDIVIDUAL MALE JUNIORS,7,NGUYEN DAN,TEAM ALBERTA
KATA INDIVIDUAL MALE SEN,1,UCHIAGE TOSHI,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE SEN,2,LEE KENNETH,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE SEN,3,DAVID ALEXANDER,TEAM ONTARIO
KATA INDIVIDUAL MALE SEN,3,ZOHAR EITAN,TEAM ONTARIO
KATA INDIVIDUAL MALE SEN,5,CHUNG LEIVIN,TEAM ONTARIO

KATA INDIVIDUAL MALE SEN,5,VARGAS ERIC,TEAM QUÉBEC
KATA INDIVIDUAL MALE U21,1,DAVID ALEXANDER,TEAM ONTARIO
KATA INDIVIDUAL MALE U21,2,TOKIC MARCO,TEAM QUÉBEC
KATA INDIVIDUAL MALE U21,3,ZOHAR ARIEL,TEAM ONTARIO
KATA INDIVIDUAL MALE U21,3,VARGAS ERIC,TEAM QUÉBEC
KATA INDIVIDUAL MALE U21,5,SHAFFER TYLER,TEAM ALBERTA
KATA INDIVIDUAL MALE U21,5,BATISTA GARIK,TEAM QUÉBEC
"KATA TEAM FEMALE CADETS AND
JUNIORS",1,"QUEBEC(CHARRON, CHARTRAND, SIMARD)",TEAM QUÉBEC
"KATA TEAM FEMALE CADETS AND
JUNIORS",2,"ONTARIO(DAVIDSON, DRAWETZ, HANNA)",TEAM ONTARIO
KATA TEAM FEMALE SEN,1,"ONTARIO(FLAMENGO, RESTREPO, TERRA)",TEAM ONTARIO
"KATA TEAM MALE CADETS AND
JUNIORS",1,"TEAM BC(CHAN, DONG, SANTILLIAN)",TEAM BRITISH COLUMBIA
"KATA TEAM MALE CADETS AND
JUNIORS",2,"QUEBEC(LEVESQUE, RIVEST, RIVEST)",TEAM QUÉBEC
"KATA TEAM MALE CADETS AND
JUNIORS",3,"ONTARIO(CHAU, PRITCHARD-OH, STEWART)",TEAM ONTARIO
